paretosat-msh-disjoint,paretosat-msh
535.5899999999999,484.78000000000003
5400.0,5400.0
5279.12,4814.34
963.3,1049.96
5400.0,5400.0
197.47,166.59
55.22,57.58
5102.0,5400.0
5400.0,5400.0
52.76,53.03
5400.0,5400.0
5400.0,5400.0
2363.65,2459.46
712.15,591.72
2285.8700000000003,2538.8300000000004
178.98999999999998,161.46
32.02,33.25
5400.0,5400.0
1418.1200000000001,1641.91
3703.51,3584.44
1226.75,1177.38
5400.0,5400.0
5400.0,5400.0
186.85999999999999,159.56
687.27,672.79
5400.0,5400.0
5400.0,5400.0
275.06,329.97999999999996
891.97,1188.52
2933.33,2981.08
5400.0,5400.0
5400.0,5400.0
61.38,60.42
155.76000000000002,188.35000000000002
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
116.57,97.26
1709.45,1780.83
5400.0,5400.0
245.23999999999998,286.01000000000005
5400.0,5400.0
2953.77,2882.43
108.53,112.94
495.04,536.5300000000001
70.63,108.62
1023.74,1497.79
719.91,838.86
2868.98,4813.34
723.75,490.20000000000005
1270.47,985.41
5400.0,5400.0
1108.95,1168.74
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
92.63,99.77000000000001
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
4134.66,4159.68
379.52000000000004,390.09000000000003
496.07,624.09
5400.0,5400.0
1937.16,1878.86
495.55,383.64
43.63,43.61
5400.0,5400.0
1948.1699999999998,1634.47
4894.3099999999995,5202.629999999999
5400.0,5400.0
112.22,96.52
5400.0,5400.0
2497.55,2310.64
5400.0,5400.0
1451.04,1479.6299999999999
5400.0,5400.0
636.75,696.57
5400.0,5400.0
2368.17,2507.7000000000003
2771.83,3060.8
5400.0,5400.0
151.30999999999997,198.59
76.02,96.03
41.489999999999995,44.89
638.8000000000001,804.66
5400.0,5400.0
5400.0,5400.0
4601.650000000001,5400.0
3396.29,3628.16
78.82,82.24
5400.0,5400.0
1646.3799999999999,1533.71
93.27000000000001,85.87
2535.67,2801.02
1077.0,1326.03
115.97,134.22000000000003
674.69,793.51
1399.07,1594.6299999999999
5400.0,5400.0
4531.23,3386.7999999999997
606.37,497.46
4885.77,4018.08
108.42,88.68
357.07,643.0300000000001
916.12,2511.4
5400.0,5400.0
60.29,61.489999999999995
94.24000000000001,108.73
5400.0,5400.0
887.08,750.66
630.54,663.55
2263.4700000000003,2039.6599999999999
1120.24,1109.87
1366.22,637.9499999999999
5400.0,5400.0
3606.64,3466.1000000000004
414.45000000000005,418.34999999999997
379.42,358.09000000000003
5400.0,5400.0
