increasing,decreasing
1099.89,4261.64
3.75125,3.99407
0.0,0.0
286.247,5113.06
0.0,0.0
0.0,0.0
0.03173,0.029596
3.248,16.9692
0.0,0.0
1.30353,7.59555
0.08577,0.054478
