nsolved,pminimal,bioptsat-oll,bioptsat-msu3,bioptsat-msh,bioptsat-us,bioptsat-su
96,1.49,1.12,1.1300000000000001,1.21,1.08,1.26
97,1.54,1.1300000000000001,1.14,1.22,1.1,1.31
98,1.57,1.1300000000000001,1.22,1.24,1.1300000000000001,1.36
99,1.58,1.2,1.22,1.24,1.18,1.41
100,1.67,1.25,1.24,1.27,1.33,1.43
101,1.79,1.27,1.32,1.3800000000000001,1.34,1.44
102,1.87,1.33,1.34,1.3800000000000001,1.36,1.58
103,2.17,1.34,1.4,1.3800000000000001,1.42,1.61
104,2.21,1.36,1.84,1.39,1.6300000000000001,1.68
105,2.34,1.3900000000000001,1.9,1.68,1.64,1.71
106,2.5,1.3900000000000001,1.99,1.69,1.71,1.91
107,2.7399999999999998,1.75,1.99,1.91,1.9,2.0
108,2.7399999999999998,1.82,1.99,1.99,1.95,2.0399999999999996
109,3.22,1.85,2.05,2.07,2.11,2.0799999999999996
110,3.36,1.85,2.0999999999999996,2.19,2.17,2.38
111,3.69,1.95,2.3099999999999996,2.31,2.2,2.44
112,3.7600000000000002,1.96,2.48,2.57,2.2399999999999998,2.58
113,3.9099999999999997,2.16,2.48,2.77,2.27,2.61
114,4.09,2.21,2.5,2.82,2.3,2.6799999999999997
115,4.12,2.69,2.51,2.82,2.4099999999999997,2.6999999999999997
116,4.17,2.77,2.5399999999999996,2.88,2.4699999999999998,2.8899999999999997
117,4.3,2.8699999999999997,2.6799999999999997,2.9899999999999998,2.67,3.0599999999999996
118,4.35,3.0,3.19,3.0599999999999996,2.8499999999999996,3.09
119,4.39,3.01,3.22,3.09,2.88,3.33
120,4.62,3.41,3.22,3.24,3.11,3.5199999999999996
121,4.71,3.53,3.2699999999999996,3.4099999999999997,3.1399999999999997,3.63
122,4.74,3.55,3.46,3.5599999999999996,3.4499999999999997,3.77
123,5.13,3.7199999999999998,3.65,3.75,3.6,3.8899999999999997
124,5.51,3.94,3.75,4.05,3.85,3.96
125,5.69,3.96,4.109999999999999,4.079999999999999,4.17,4.0
126,6.12,4.27,4.68,4.27,4.22,4.09
127,6.220000000000001,4.890000000000001,4.75,4.359999999999999,4.54,4.09
128,6.38,4.8999999999999995,4.77,4.37,4.7,4.88
129,7.199999999999999,4.949999999999999,4.8,5.119999999999999,5.04,5.35
130,7.25,4.97,5.569999999999999,5.21,5.1499999999999995,5.39
131,7.38,5.319999999999999,5.63,5.359999999999999,5.279999999999999,5.63
132,7.84,5.35,6.14,5.74,5.4399999999999995,5.81
