paretosat-msh-70litsconfmin,paretosat-msh-70lits
5400.0,5400.0
5400.0,5400.0
4.279999999999999,4.76
5400.0,5400.0
2584.59,2522.77
3.1599999999999997,2.5999999999999996
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
871.47,966.24
17.259999999999998,9.629999999999999
1.17,1.2
5400.0,5400.0
107.75,128.29999999999998
5400.0,5400.0
1.56,6.08
12.22,9.13
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.02,0.02
4.16,3.5999999999999996
5400.0,5400.0
5400.0,5400.0
0.5,0.47000000000000003
0.84,0.63
33.79,45.040000000000006
0.8200000000000001,0.9400000000000001
1.95,1.07
5400.0,5400.0
349.43,145.12
5400.0,5400.0
20.48,21.57
0.47,0.3
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
625.75,322.33
2.77,2.4699999999999998
5400.0,5400.0
4250.61,5351.01
3.42,0.9400000000000001
5400.0,5400.0
52.07,25.6
0.08,0.04
0.25,0.26
33.64,15.100000000000001
5400.0,5400.0
4.82,7.7
5400.0,5400.0
0.61,0.49
5400.0,5400.0
0.41,0.29000000000000004
5400.0,5400.0
0.2,0.23
5400.0,5400.0
2.21,2.48
25.12,21.46
34.29,22.06
0.56,0.4
5.159999999999999,2.8499999999999996
19.39,16.169999999999998
38.65,31.94
423.19,317.28000000000003
0.29000000000000004,0.3
0.33,0.35
0.41000000000000003,0.35000000000000003
5400.0,5400.0
123.54,143.95000000000002
0.02,0.01
5400.0,5400.0
5400.0,5400.0
0.08,0.09
5400.0,5400.0
1203.26,1375.33
0.05,0.03
5400.0,5400.0
8.379999999999999,3.67
0.0,0.01
17.05,19.099999999999998
0.24000000000000002,0.19
5400.0,5400.0
0.2,0.17
5400.0,5400.0
3.83,2.28
5400.0,5400.0
