paretosat-msh-70lits,paretosat-msh
15.709999999999999,15.77
5400.0,5400.0
152.75,162.18
5400.0,5400.0
1.6300000000000001,1.84
5400.0,5400.0
393.83,358.33
2.44,2.11
1780.18,475.02
1.4,1.39
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.12,0.12
1780.95,1774.44
8.52,22.86
5400.0,5400.0
5400.0,5400.0
2740.91,3355.18
5400.0,5400.0
3059.2200000000003,3573.45
5400.0,5400.0
35.879999999999995,27.15
1752.25,1468.79
0.48,0.51
5400.0,5400.0
0.71,0.46
33.080000000000005,34.449999999999996
5400.0,5400.0
2.96,2.34
3.48,3.7
12.629999999999999,12.65
5400.0,5400.0
31.150000000000002,32.459999999999994
32.339999999999996,36.699999999999996
484.07,524.4399999999999
3.42,3.17
0.28,0.29000000000000004
5400.0,5400.0
2.51,2.53
46.82,40.779999999999994
68.64,90.22
5400.0,5400.0
0.09,0.06
13.95,14.18
0.06,0.06
5400.0,5400.0
0.02,0.02
0.02,0.03
5400.0,5400.0
0.41000000000000003,0.36
0.23,0.24000000000000002
5400.0,5400.0
1.11,1.12
0.03,0.03
0.27,0.31
0.04,0.04
0.3,0.33
5400.0,5400.0
0.06,0.07
2.42,2.48
5400.0,5400.0
0.15,0.12
5400.0,5400.0
5400.0,5400.0
5024.29,4881.23
0.16,0.15000000000000002
0.0,0.0
3.61,3.6199999999999997
5400.0,5400.0
0.17,0.16
2.78,2.37
9.84,9.83
5400.0,5400.0
1405.98,1296.56
0.09999999999999999,0.06
177.97,179.51
5400.0,5400.0
395.75,412.51000000000005
14.87,15.26
10.9,11.01
579.01,550.9300000000001
5400.0,5400.0
58.519999999999996,46.63
5400.0,5400.0
33.379999999999995,33.78
5400.0,5400.0
