paretosat-msh-70litsnolazydown,paretosat-msh-70lits
677.3,679.89
4.369999999999999,4.76
5400.0,5400.0
263.09000000000003,264.13
5400.0,5400.0
5400.0,5400.0
2.8,2.8499999999999996
5400.0,5400.0
9.42,9.629999999999999
5400.0,5400.0
0.3,0.3
5400.0,5400.0
0.02,0.02
5400.0,5400.0
20.59,20.46
3.44,3.5999999999999996
0.17,0.16
5400.0,5400.0
1430.38,1418.51
0.19999999999999998,0.17
176.32,173.20999999999998
5400.0,5400.0
5400.0,5400.0
0.08,0.08
0.48,0.47000000000000003
5400.0,5400.0
5400.0,5400.0
0.62,0.6
0.91,0.9400000000000001
5400.0,5400.0
5400.0,5400.0
2.48,2.4699999999999998
5400.0,5400.0
0.47,0.49
1.2,1.07
215.41000000000003,216.88000000000002
0.02,0.01
2.2199999999999998,2.17
12.33,12.42
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
248.0,249.57999999999998
0.01,0.01
0.04,0.04
0.41000000000000003,0.36
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.73,0.66
1.2,1.2
5400.0,5400.0
2.2699999999999996,2.28
2.94,2.78
28.93,29.009999999999998
0.34,0.33
0.32,0.35000000000000003
2.3499999999999996,2.42
0.67,0.66
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
16.919999999999998,16.88
127.03999999999999,128.29999999999998
15.84,16.169999999999998
585.22,584.81
5400.0,5400.0
0.09,0.09
0.43,0.46
0.32,0.29000000000000004
18.990000000000002,19.099999999999998
139.9,143.95000000000002
0.2,0.19
5400.0,5400.0
21.98,22.06
282.73,282.84
0.03,0.03
1.0,1.03
7.58,7.7
9.83,9.729999999999999
1369.93,1375.33
5400.0,5400.0
0.36,0.4
0.14,0.17
1149.0500000000002,1141.0700000000002
5400.0,5400.0
5400.0,5400.0
2.15,2.1999999999999997
