paretosat-msh-disjoint,paretosat-msh
0.02,0.02
474.58000000000004,412.51000000000005
0.06,0.06
361.73,304.15999999999997
5400.0,5400.0
0.0,0.0
6.789999999999999,5.89
5400.0,5400.0
3.01,1.84
5400.0,5400.0
0.52,0.33
5400.0,5400.0
5400.0,5400.0
28.25,28.5
5400.0,5400.0
2.57,2.0399999999999996
5400.0,5400.0
0.12,0.12
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
139.79000000000002,90.22
646.47,550.9300000000001
5400.0,5400.0
333.77,256.21000000000004
5400.0,5400.0
5400.0,5400.0
0.2,0.06
1.6,1.12
5400.0,5400.0
0.0,0.0
4857.89,4881.23
0.03,0.03
5400.0,5400.0
3.57,2.11
5400.0,5400.0
5400.0,5400.0
4356.0199999999995,2118.76
20.729999999999997,20.770000000000003
18.32,11.7
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
18.080000000000002,12.23
0.34,0.31
5400.0,5400.0
334.96000000000004,319.53000000000003
5400.0,5400.0
64.01,46.63
5400.0,5400.0
0.28,0.14
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1.19,1.02
5400.0,5400.0
0.0,0.0
5.13,3.54
24.13,24.13
1353.98,1296.56
5400.0,5400.0
5400.0,5400.0
93.14999999999999,75.03999999999999
5400.0,5400.0
0.02,0.02
5.22,3.58
17.8,8.76
5400.0,5400.0
5400.0,5400.0
0.01,0.02
0.0,0.0
2.0,1.39
5400.0,5400.0
7.43,5.4799999999999995
1.65,0.87
5400.0,5400.0
0.18000000000000002,0.09
5400.0,5400.0
0.01,0.01
13.91,14.18
0.0,0.0
184.41000000000003,207.23
0.43,0.3
5400.0,5400.0
16.43,8.889999999999999
5400.0,5400.0
0.29,0.12
688.54,524.4399999999999
94.27,71.33999999999999
5400.0,5400.0
17.0,12.65
77.72,57.57
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.13,0.09
5400.0,5400.0
6.970000000000001,4.05
5400.0,5400.0
51.959999999999994,36.699999999999996
43.059999999999995,43.86
256.99,181.84
9.59,6.359999999999999
0.12,0.06
33.73,32.459999999999994
0.03,0.03
5400.0,5400.0
0.15000000000000002,0.06
0.89,0.51
0.0,0.0
5400.0,5400.0
325.98999999999995,366.54
5400.0,5400.0
0.34,0.31
0.01,0.01
0.01,0.0
2920.07,2635.45
0.68,0.72
28.41,11.78
5400.0,5400.0
0.0,0.01
5400.0,5400.0
5400.0,5400.0
11.03,22.86
5400.0,5400.0
5400.0,5400.0
3.3499999999999996,3.6199999999999997
5400.0,5400.0
5400.0,5400.0
66.75999999999999,43.949999999999996
5400.0,5400.0
18.5,9.35
5400.0,5400.0
10.4,4.829999999999999
5400.0,5400.0
3.3,3.32
0.01,0.01
0.34,0.31
5400.0,5400.0
0.72,0.63
0.0,0.0
538.03,358.33
0.06,0.05
2.9499999999999997,2.48
3252.75,2140.7000000000003
0.02,0.01
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.39,0.29000000000000004
5400.0,5400.0
14.15,5.8999999999999995
0.04,0.04
5400.0,5400.0
5400.0,5400.0
6.34,3.7
0.01,0.01
0.02,0.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
47.65,27.15
6.8999999999999995,4.41
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.0,0.01
5400.0,5400.0
7.75,3.4499999999999997
4.8,2.34
42.5,34.449999999999996
3160.0299999999997,1774.44
14.44,15.77
3.71,3.17
0.01,0.01
1.09,1.0
5400.0,5400.0
2.8299999999999996,2.53
70.09,40.779999999999994
3448.08,3573.45
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.91,0.77
5400.0,5400.0
0.01,0.02
0.05,0.03
1.3800000000000001,1.3
5400.0,5400.0
335.2,356.0
610.2,475.02
0.37,0.27
5400.0,5400.0
202.29,162.18
5400.0,5400.0
0.86,0.8300000000000001
0.33,0.12
5400.0,5400.0
1.84,1.19
5400.0,5400.0
0.06,0.06
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.37,0.16
5400.0,5400.0
212.41000000000003,179.51
14.549999999999999,9.83
1.3800000000000001,1.04
2.2600000000000002,2.4
15.62,15.26
0.11,0.06
0.01,0.01
0.01,0.01
0.36,0.25
9.48,11.01
0.02,0.01
5400.0,5400.0
0.77,0.8
5400.0,5400.0
5400.0,5400.0
0.01,0.01
0.22,0.24000000000000002
