nsolved,pminimal,bioptsat-oll,bioptsat-msu3,bioptsat-su,bioptsat-us,bioptsat-msh,seesaw-sat,seesaw-satexmin,seesaw,paretomcs,paretomcs-strat
64,0.25,0.21,0.19,0.21,0.21000000000000002,0.21000000000000002,,6.49,12.74,,
65,0.27,0.21000000000000002,0.21000000000000002,0.22,0.22,0.21000000000000002,,7.93,14.479999999999999,,
66,0.28,0.22,0.22,0.25,0.22,0.22,,8.11,18.59,,
67,0.32,0.25,0.22,0.26,0.23,0.22,,8.25,22.46,,
68,0.32,0.26,0.24,0.29000000000000004,0.24000000000000002,0.23,,8.42,23.66,,
69,0.32999999999999996,0.26,0.24000000000000002,0.3,0.25,0.29,,8.46,27.150000000000002,,
70,0.36,0.27,0.26,0.30000000000000004,0.25,0.31,,8.55,27.61,,
71,0.36,0.27,0.27,0.31,0.25,0.31,,8.799999999999999,30.520000000000003,,
72,0.37,0.29000000000000004,0.29,0.31,0.3,0.31,,9.379999999999999,35.51,,
73,0.38,0.31000000000000005,0.31,0.31,0.31,0.32,,11.89,36.779999999999994,,
74,0.45,0.32,0.31,0.33,0.32,0.33,,12.700000000000001,42.37,,
75,0.52,0.34,0.31,0.34,0.33,0.33,,12.700000000000001,42.89,,
76,0.5800000000000001,0.34,0.32,0.36000000000000004,0.39,0.35000000000000003,,12.74,44.85,,
77,0.6,0.38,0.34,0.39,0.39,0.35000000000000003,,12.969999999999999,45.94,,
78,0.6,0.39,0.37,0.47,0.42,0.36,,15.32,48.4,,
79,0.68,0.4,0.39,0.48,0.42,0.4,,16.51,62.21,,
80,0.68,0.4,0.42,0.49,0.44,0.4,,16.520000000000003,66.9,,
81,0.7000000000000001,0.42,0.42,0.5,0.45,0.46,,17.27,72.59,,
82,0.75,0.43,0.43,0.51,0.46,0.47000000000000003,,19.69,88.87,,
83,0.75,0.43,0.45,0.51,0.46,0.47000000000000003,,19.71,94.82,,
84,0.78,0.44,0.47000000000000003,0.56,0.51,0.5,,26.49,95.53,,
85,0.81,0.48,0.49,0.61,0.53,0.57,,26.689999999999998,105.08,,
86,0.81,0.52,0.49,0.63,0.53,0.5700000000000001,,29.3,122.56,,
87,0.81,0.55,0.5,0.63,0.54,0.5700000000000001,,31.959999999999997,134.8,,
88,0.86,0.56,0.52,0.64,0.58,0.5700000000000001,,39.11,140.47,,
89,0.88,0.61,0.54,0.65,0.58,0.63,,42.38,147.17000000000002,,
90,0.89,0.61,0.59,0.66,0.59,0.65,,45.8,151.69,,
91,0.96,0.62,0.6,0.67,0.6,0.66,,49.150000000000006,168.07,,
92,0.96,0.63,0.62,0.71,0.6,0.7000000000000001,,54.09,174.9,,
93,0.98,0.65,0.69,0.72,0.64,0.75,,55.03,176.59,,
94,1.0,0.67,0.75,0.74,0.67,0.77,,71.69,188.17,,
95,1.01,0.68,0.77,0.74,0.6900000000000001,0.8,,77.35000000000001,222.74,,
96,1.05,0.7,0.85,0.75,0.74,0.81,,78.22,226.72,,
97,1.07,0.73,0.87,0.76,0.75,0.83,,106.66,235.54000000000002,,
98,1.1300000000000001,0.73,0.87,0.81,0.77,0.91,,111.4,240.69000000000003,,
99,1.16,0.78,0.88,0.87,0.86,0.9400000000000001,,130.09,253.06,,
100,1.32,0.85,0.91,0.92,0.86,0.9400000000000001,,130.36,260.49,,
101,1.34,0.87,0.92,1.05,0.87,0.96,,141.89,263.97999999999996,,
102,1.36,0.91,0.97,1.08,0.9,0.99,,146.18,323.74,,
103,1.42,0.95,0.99,1.15,0.91,1.0,,156.65,511.05,,
104,1.46,0.97,1.05,1.19,0.98,1.05,,157.59,620.01,,
105,1.47,0.98,1.06,1.37,1.04,1.05,,160.96,855.27,,
106,1.62,0.98,1.06,1.3800000000000001,1.05,1.08,,164.63,873.2,,
107,1.73,0.99,1.07,1.4,1.32,1.16,,167.95,878.0500000000001,,
108,1.82,1.05,1.11,1.44,1.35,1.25,,181.84,879.8499999999999,,
109,1.97,1.09,1.41,1.68,1.36,1.4000000000000001,,190.08999999999997,1128.23,,
110,2.2399999999999998,1.15,1.42,1.68,1.43,1.46,,224.05,1235.3799999999999,,
111,2.3,1.19,1.56,1.71,1.49,1.57,,225.29999999999998,1478.24,,
112,2.4699999999999998,1.32,1.57,1.83,1.53,1.59,,245.89,1498.32,,
113,2.59,1.36,1.58,1.84,1.58,1.74,,250.37,1504.74,,
114,2.6599999999999997,1.3800000000000001,1.6300000000000001,1.92,1.77,1.75,,262.52,1662.95,,
115,2.69,1.47,1.68,2.01,1.78,1.76,,298.38,2047.77,,
116,2.73,1.6,1.74,2.0399999999999996,1.89,1.8,,341.95,2081.63,,
117,2.7600000000000002,1.73,1.8800000000000001,2.0599999999999996,1.95,1.8900000000000001,,348.62,2245.85,,
118,2.81,1.76,1.91,2.11,1.95,2.0,,531.76,2670.1,,
119,2.8499999999999996,1.78,2.0,2.1199999999999997,1.99,2.1,,537.0,3301.23,,
120,3.19,1.81,2.0599999999999996,2.1399999999999997,1.99,2.11,,631.08,3361.66,,
121,3.3,1.85,2.09,2.1599999999999997,2.01,2.22,,760.96,3743.8100000000004,,
122,3.61,1.87,2.13,2.2,2.1,2.25,,784.52,3944.35,,
123,3.7699999999999996,1.8800000000000001,2.13,2.2699999999999996,2.17,2.3099999999999996,,964.24,4586.55,,
124,3.8299999999999996,1.91,2.14,2.27,2.2199999999999998,2.31,,1025.65,,,
125,3.94,1.92,2.15,2.3499999999999996,2.2399999999999998,2.4,,1197.28,,,
126,3.95,2.0,2.19,2.54,2.2600000000000002,2.44,,1488.05,,,
127,4.159999999999999,2.05,2.2,2.57,2.28,2.48,,1519.47,,,
128,4.17,2.07,2.2199999999999998,2.69,2.3,2.51,,1550.46,,,
129,4.28,2.13,2.2199999999999998,2.81,2.3299999999999996,2.57,,1763.5700000000002,,,
130,4.36,2.2199999999999998,2.32,3.05,2.3299999999999996,2.6999999999999997,,1893.99,,,
131,4.369999999999999,2.2399999999999998,2.34,3.18,2.4099999999999997,2.7399999999999998,,1914.85,,,
132,4.37,2.38,2.4,3.22,2.45,2.86,,2651.73,,,
133,4.489999999999999,2.6999999999999997,2.53,3.3099999999999996,2.46,2.94,,3193.49,,,
134,5.33,2.71,2.59,3.4099999999999997,2.6199999999999997,3.0199999999999996,,3955.2400000000002,,,
135,5.7299999999999995,2.82,2.6599999999999997,3.46,2.6199999999999997,3.07,,4710.69,,,
136,6.55,2.84,2.8899999999999997,3.9,3.03,3.23,,5010.87,,,
137,6.87,2.9,2.97,3.96,3.1799999999999997,3.34,,,,,
138,6.95,3.0,2.9899999999999998,4.02,3.19,3.39,,,,,
139,7.069999999999999,3.1399999999999997,3.21,4.289999999999999,3.4,3.5,,,,,
140,7.8100000000000005,3.26,3.32,4.47,3.5999999999999996,3.57,,,,,
141,7.869999999999999,3.44,3.4699999999999998,4.8,3.91,3.8299999999999996,,,,,
142,7.970000000000001,3.52,3.71,6.4799999999999995,3.92,3.86,,,,,
143,8.25,3.67,3.87,6.4799999999999995,4.13,4.74,,,,,
144,8.5,3.75,3.96,6.55,4.84,4.97,,,,,
145,10.04,3.88,4.24,6.56,5.09,5.99,,,,,
146,10.629999999999999,4.529999999999999,4.7,7.159999999999999,5.5,6.47,,,,,
147,10.7,5.35,5.52,7.83,5.56,6.739999999999999,,,,,
148,12.07,5.91,6.88,8.4,5.779999999999999,7.1499999999999995,,,,,
149,12.5,6.14,6.95,9.22,6.59,7.7,,,,,
150,13.649999999999999,6.67,7.0,9.379999999999999,6.6499999999999995,8.049999999999999,,,,,
151,14.739999999999998,6.7299999999999995,7.31,9.64,7.06,8.12,,,,,
152,15.34,8.75,7.51,10.92,7.31,9.06,,,,,
153,15.76,9.17,8.37,11.75,7.8,9.459999999999999,,,,,
154,16.37,9.36,9.71,12.799999999999999,8.459999999999999,9.75,,,,,
155,18.47,9.85,9.76,12.99,9.6,10.83,,,,,
156,20.13,9.97,10.0,14.049999999999999,9.66,10.83,,,,,
157,21.029999999999998,12.020000000000001,10.18,14.459999999999999,10.89,11.58,,,,,
158,22.36,12.149999999999999,10.25,15.13,11.09,11.700000000000001,,,,,
159,22.400000000000002,12.26,10.309999999999999,15.66,11.68,12.27,,,,,
160,23.55,12.75,11.53,16.69,12.780000000000001,13.51,,,,,
161,23.81,13.559999999999999,12.36,16.93,12.92,14.03,,,,,
162,23.85,14.399999999999999,13.040000000000001,18.400000000000002,13.770000000000001,14.14,,,,,
163,25.32,15.2,14.09,18.65,14.7,14.559999999999999,,,,,
164,25.71,15.27,16.15,18.66,15.11,14.94,,,,,
165,26.82,15.43,16.74,19.220000000000002,15.4,14.94,,,,,
166,28.05,16.12,17.23,19.36,15.91,16.5,,,,,
167,29.290000000000003,16.78,17.25,19.419999999999998,17.15,17.14,,,,,
168,29.7,16.82,17.81,19.970000000000002,17.759999999999998,18.34,,,,,
169,30.779999999999998,17.8,17.86,20.040000000000003,18.04,18.799999999999997,,,,,
170,31.35,18.71,19.08,20.32,18.05,19.86,,,,,
171,31.990000000000002,19.47,20.3,20.89,18.650000000000002,20.66,,,,,
172,32.150000000000006,20.07,21.45,21.259999999999998,19.69,21.68,,,,,
173,33.06,20.3,21.56,21.560000000000002,21.0,21.72,,,,,
174,33.6,20.84,22.58,21.669999999999998,21.310000000000002,22.02,,,,,
175,36.97,20.970000000000002,22.740000000000002,22.84,21.73,23.919999999999998,,,,,
176,37.230000000000004,22.240000000000002,25.099999999999998,23.919999999999998,27.810000000000002,24.75,,,,,
177,40.75,24.13,25.11,27.52,28.56,25.22,,,,,
