pminimal,paretosat-msh-70lits
5400.0,5400.0
13.649999999999999,9.629999999999999
0.09999999999999999,0.02
0.6,0.33
1407.67,899.88
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.1,0.06999999999999999
5400.0,5400.0
0.21,0.16
1450.27,679.89
5400.0,5400.0
5400.0,5400.0
1617.99,966.24
0.14,0.09
2224.44,1418.51
31.35,21.46
5400.0,5400.0
23.85,3.67
229.47000000000003,216.88000000000002
1.36,1.03
5400.0,5400.0
0.78,0.47000000000000003
5400.0,5400.0
0.38,0.3
1.32,0.63
1.0,0.6
1.01,0.9400000000000001
130.01,145.12
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
164.23000000000002,317.28000000000003
0.09999999999999999,0.02
5400.0,5400.0
6.95,3.71
5400.0,5400.0
230.43,173.20999999999998
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
555.9699999999999,322.33
2.81,2.28
5400.0,5400.0
22.36,25.6
0.89,0.7
0.36,0.23
1789.6200000000001,1141.0700000000002
1.16,0.66
5400.0,5351.01
5400.0,5400.0
40.75,29.009999999999998
5400.0,5400.0
5400.0,5400.0
0.15000000000000002,0.09
4.17,2.42
5400.0,5400.0
4.37,2.48
0.6,0.4
0.45,0.29000000000000004
0.03,0.03
5400.0,3486.92
5400.0,5400.0
1014.31,584.81
5400.0,3135.3
7.8100000000000005,7.7
0.36,0.3
0.37,0.35
0.81,0.46
2.2399999999999998,1.71
5400.0,5400.0
1.82,1.65
29.7,21.57
0.32,0.19
1538.49,1157.38
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1.42,1.07
5400.0,5400.0
6.87,6.08
4.36,2.1999999999999997
28.05,16.88
22.400000000000002,19.099999999999998
31.990000000000002,9.729999999999999
719.73,282.84
0.23,0.17
5400.0,5400.0
37.230000000000004,12.42
0.04,0.03
