paretosat-msh-confmin,paretosat-msh
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
627.07,595.81
888.9300000000001,1095.66
5400.0,5400.0
5400.0,5400.0
5400.0,1400.53
221.1,160.77
5400.0,5400.0
0.24,0.24
0.0,0.0
553.52,625.4200000000001
2.1599999999999997,1.9
5400.0,5400.0
1.49,1.51
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
4.94,5.11
18.43,12.879999999999999
5400.0,5400.0
0.03,0.03
442.90000000000003,297.33000000000004
2.83,2.34
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
30.33,22.27
22.97,5.529999999999999
5400.0,5400.0
171.91,412.51000000000005
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2.93,2.0
0.01,0.0
5400.0,5400.0
5400.0,5400.0
0.48,0.36
5400.0,5400.0
0.07,0.08
5400.0,5400.0
5400.0,5400.0
14.42,22.86
5400.0,5400.0
1.22,0.88
5400.0,5400.0
0.63,0.46
128.95000000000002,74.39999999999999
5400.0,5400.0
5400.0,5400.0
2154.13,1296.56
5400.0,5400.0
1.49,1.36
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.81,0.72
4.6499999999999995,7.66
5400.0,5400.0
0.02,0.02
5400.0,5400.0
176.01999999999998,261.78999999999996
0.14,0.12
4615.27,2398.1000000000004
5400.0,5400.0
20.33,14.18
1.68,1.3
5400.0,5400.0
0.0,0.0
0.01,0.01
2.88,6.24
107.61,65.69
0.32,0.24000000000000002
5400.0,5400.0
5400.0,5400.0
1.59,1.22
4.37,4.05
5400.0,5400.0
11.65,9.83
5400.0,1709.95
0.0,0.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
9.42,3.4499999999999997
1.3,1.19
5400.0,5400.0
375.26,181.84
5400.0,5400.0
1.02,0.8300000000000001
389.15000000000003,319.53000000000003
343.32,268.91
5400.0,5400.0
11.389999999999999,8.809999999999999
5400.0,5400.0
5400.0,5400.0
0.03,0.02
30.84,11.7
0.31,0.33
0.02,0.02
0.93,0.86
5400.0,5400.0
5400.0,5400.0
42.839999999999996,46.120000000000005
0.05,0.05
5400.0,5400.0
0.060000000000000005,0.03
46.79,23.810000000000002
0.14,0.06
1.9,1.3
5400.0,5400.0
0.060000000000000005,0.04
1.25,0.8
665.2800000000001,212.91
1.19,0.96
75.55,162.18
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.42,0.39
5400.0,5400.0
355.87,202.09
0.79,0.83
16.490000000000002,12.65
5400.0,5400.0
0.01,0.01
0.06,0.07
0.0,0.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.06,0.03
6.81,4.819999999999999
5400.0,5400.0
5400.0,5400.0
410.68,304.15999999999997
5400.0,5400.0
3535.86,787.9200000000001
6.52,5.89
5400.0,5400.0
