bioptsat-msh-disjoint,paretosat-msh-70lits
0.24000000000000002,0.23
5.609999999999999,2.42
5400.0,5400.0
5400.0,5400.0
2.3699999999999997,2.48
2.55,2.8499999999999996
113.61,128.29999999999998
5400.0,5400.0
16.84,16.169999999999998
29.46,31.94
366.49,264.13
252.92000000000002,249.57999999999998
308.63,317.28000000000003
2807.28,3486.92
687.3499999999999,584.81
2688.4199999999996,3135.3
5400.0,5400.0
0.3,0.3
5400.0,5400.0
0.38,0.35
0.98,0.9400000000000001
0.46,0.46
5400.0,5400.0
0.29000000000000004,0.29000000000000004
5400.0,5400.0
123.23,143.95000000000002
0.01,0.01
5400.0,5400.0
5400.0,5400.0
1054.5300000000002,1157.38
0.09999999999999999,0.09
3.05,2.78
176.47,145.12
5400.0,5400.0
5400.0,5400.0
0.26,0.17
5400.0,5400.0
1.17,1.03
5400.0,5400.0
4.01,3.67
5400.0,5400.0
5400.0,5400.0
2.86,7.7
0.71,0.66
0.98,0.94
5.36,6.08
0.44,0.35000000000000003
16.54,19.099999999999998
5400.0,5400.0
13.139999999999999,9.729999999999999
1050.8300000000002,1375.33
0.01,0.01
5400.0,5400.0
0.04,0.03
24.200000000000003,12.42
1.9000000000000001,2.4699999999999998
0.19,0.19
0.38,0.4
27.98,21.57
16.33,16.88
5400.0,5400.0
2.5199999999999996,1.71
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.22,0.17
0.03,0.03
5400.0,5400.0
5400.0,5400.0
2.3099999999999996,2.28
5400.0,5400.0
23.82,21.46
0.01,0.01
1.32,1.2
5400.0,5400.0
286.77000000000004,282.84
5400.0,5400.0
0.02,0.01
5400.0,5400.0
5400.0,5400.0
1207.93,1141.0700000000002
0.59,0.49
56.129999999999995,22.06
1.21,1.65
3.36,2.1999999999999997
5400.0,5400.0
0.02,0.02
1054.56,899.88
5400.0,5400.0
1.06,1.07
