paretosat-msh-50secs,paretosat-msh
620.86,624.09
2944.17,2981.08
5400.0,5400.0
110.74,112.94
33.519999999999996,33.25
5400.0,5400.0
56.39,57.58
5377.1,5400.0
5400.0,5400.0
5400.0,5400.0
1282.81,1326.03
635.4499999999999,637.9499999999999
5400.0,5400.0
2369.2599999999998,2459.46
593.7299999999999,591.72
159.28,161.46
1128.3999999999999,1177.38
1710.95,1641.91
5400.0,5400.0
60.58,60.42
264.49,286.01000000000005
5400.0,5400.0
5400.0,5400.0
3636.25,3628.16
157.72,159.56
5400.0,5400.0
1259.3100000000002,2511.4
667.23,672.79
5400.0,5400.0
343.58,329.97999999999996
99.08999999999999,108.62
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1196.3500000000001,1188.52
2723.1600000000003,2801.02
5400.0,5400.0
189.41,188.35000000000002
5400.0,5400.0
1881.17,1878.86
5400.0,5400.0
97.44,97.26
5400.0,5400.0
5400.0,5400.0
1119.6,1109.87
1959.45,2039.6599999999999
5400.0,5400.0
1659.99,1634.47
5400.0,5400.0
694.83,696.57
804.49,838.86
1465.11,1497.79
999.4399999999999,985.41
5400.0,5400.0
1113.8999999999999,1168.74
166.67000000000002,166.59
3553.97,3584.44
2864.51,2882.43
356.65000000000003,358.09000000000003
3990.34,4018.08
4748.02,4814.34
3359.7000000000003,3386.7999999999997
5400.0,5400.0
98.68,99.77000000000001
5400.0,5400.0
5400.0,4813.34
5400.0,5400.0
5400.0,5400.0
5171.08,5202.629999999999
59.580000000000005,61.489999999999995
2503.24,2538.8300000000004
5400.0,5400.0
94.49000000000001,96.52
5400.0,5400.0
533.5,497.46
2349.39,2310.64
44.650000000000006,44.89
1472.9099999999999,1479.6299999999999
5400.0,5400.0
505.5,484.78000000000003
774.0699999999999,804.66
51.879999999999995,53.03
5400.0,5400.0
1091.47,1049.96
2996.9900000000002,3060.8
194.39000000000001,198.59
43.33,43.61
1526.0200000000002,1594.6299999999999
643.7,793.51
5400.0,5400.0
81.71,82.24
86.27,85.87
5400.0,5400.0
727.24,750.66
132.25,134.22000000000003
5400.0,5400.0
5400.0,5400.0
4015.65,4159.68
1523.06,1533.71
5400.0,5400.0
108.72,108.73
549.8299999999999,536.5300000000001
1769.64,1780.83
396.89000000000004,383.64
2474.7799999999997,2507.7000000000003
181.07,88.68
498.61,490.20000000000005
5400.0,5400.0
5400.0,5400.0
628.9000000000001,643.0300000000001
93.54,96.03
3531.61,3466.1000000000004
659.74,663.55
5400.0,5400.0
5400.0,5400.0
399.65,390.09000000000003
5400.0,5400.0
5400.0,5400.0
393.13,418.34999999999997
5400.0,5400.0
