pminimal,paretosat-msh-nobne
0.1,0.06999999999999999
5400.0,5400.0
5400.0,5400.0
3938.05,2459.5800000000004
5400.0,5400.0
0.05,0.01
630.1,530.15
35.6,23.05
5400.0,5400.0
0.18,0.09999999999999999
0.06999999999999999,0.06999999999999999
5400.0,5400.0
5400.0,5400.0
96.99,71.44
5400.0,5400.0
1.49,1.24
0.78,0.47000000000000003
13.26,12.84
5400.0,5400.0
5400.0,5400.0
487.26,474.12
5400.0,5400.0
5400.0,5400.0
2439.43,1931.31
446.48,412.69
243.53,195.3
0.09,0.06
2782.1099999999997,1612.3899999999999
0.19,0.15000000000000002
5400.0,5400.0
1.1300000000000001,0.8
1.67,1.11
3.36,2.63
2387.12,1566.2
77.64999999999999,75.11
5400.0,5400.0
4.39,3.73
5400.0,5400.0
5400.0,5400.0
0.14,0.06
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.02,0.02
1.14,0.87
5400.0,5400.0
22.49,29.63
21.95,15.9
0.18000000000000002,0.12
511.84000000000003,302.81
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
43.71,12.74
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
36.769999999999996,27.779999999999998
5400.0,5400.0
3.22,2.9899999999999998
171.64000000000001,336.92
0.05,0.07
516.13,243.15
0.01,0.01
5400.0,5400.0
18.990000000000002,12.969999999999999
0.060000000000000005,0.01
5400.0,5400.0
5400.0,5400.0
0.11,0.06
254.53,155.89
5400.0,5400.0
5400.0,5400.0
0.48,0.31
0.37,0.34
5400.0,5400.0
2.5,2.0199999999999996
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
38.78,27.330000000000002
0.01,0.02
5400.0,5400.0
0.9400000000000001,0.53
2.34,1.24
0.18,0.14
5400.0,5400.0
0.4,0.27
5400.0,5400.0
